Temperature: 29C | ID: 12220183
Temperature: 35C | ID: 12220183
Temperature: 23C | ID: 12220183
Temperature: 22C | ID: 12220183
Temperature: 26C | ID: 12220183
Temperature: 20C | ID: 12220183
Temperature: 23C | ID: 12220183
Temperature: 21C | ID: 12220183
Temperature: 24C | ID: 12220183
Temperature: 21C | ID: 12220183
Temperature: 22C | ID: 12220183
Temperature: 34C | ID: 12220183
Temperature: 20C | ID: 12220183
Temperature: 26C | ID: 12220183
Temperature: 24C | ID: 12220183
Temperature: 22C | ID: 12220183
Temperature: 33C | ID: 12220183
Temperature: 21C | ID: 12220183
Temperature: 30C | ID: 12220183
Temperature: 29C | ID: 12220183
Temperature: 25C | ID: 12220183
Temperature: 25C | ID: 12220183
Temperature: 23C | ID: 12220183
Temperature: 32C | ID: 12220183
Temperature: 21C | ID: 12220183
Temperature: 33C | ID: 12220183
Temperature: 33C | ID: 12220183
Temperature: 23C | ID: 12220183
Temperature: 28C | ID: 12220183
Temperature: 24C | ID: 12220183
Temperature: 20C | ID: 12220183
Temperature: 22C | ID: 12220183
Temperature: 20C | ID: 12220183
Temperature: 21C | ID: 12220183
Temperature: 35C | ID: 12220183
Temperature: 25C | ID: 12220183
Temperature: 30C | ID: 12220183
Temperature: 26C | ID: 12220183
Temperature: 27C | ID: 12220183
Temperature: 29C | ID: 12220183
Temperature: 29C | ID: 12220183
Temperature: 28C | ID: 12220183
Temperature: 20C | ID: 12220183
Temperature: 23C | ID: 12220183
Temperature: 29C | ID: 12220183
